cast_row_id,movie_id,person_id,actor_name,character_name,cast_order
305,284054,7060,Martin Freeman,Everett K. Ross,4
306,284054,206919,Daniel Kaluuya,W'Kabi,5
307,284054,1083010,Letitia Wright,Shuri,6
308,284054,1447932,Winston Duke,M'Baku,7
309,284054,1225953,Sterling K. Brown,N'Jobu,8
310,284054,9780,Angela Bassett,Ramonda,9
311,150540,56322,Amy Poehler,Joy (voice),0
312,150540,169200,Phyllis Smith,Sadness (voice),1
313,150540,21125,Richard Kind,Bing Bong (voice),2
314,150540,19278,Bill Hader,Fear (voice),3
315,150540,59258,Lewis Black,Anger (voice),4
316,150540,125167,Mindy Kaling,Disgust (voice),5
317,150540,1371894,Kaitlyn Dias,Riley (voice),6
318,150540,2882,Diane Lane,Mom (voice),7
319,150540,6677,Kyle MacLachlan,Dad (voice),8
320,150540,196502,Paula Poundstone,Forgetter Paula (voice),9
321,284052,71580,Benedict Cumberbatch,Dr. Stephen Strange,0
322,284052,5294,Chiwetel Ejiofor,Mordo,1
323,284052,53714,Rachel McAdams,Dr. Christine Palmer,2
324,284052,30082,Benedict Wong,Wong,3
325,284052,1019,Mads Mikkelsen,Kaecilius,4
326,284052,3063,Tilda Swinton,The Ancient One,5
327,284052,72873,Michael Stuhlbarg,Dr. Nicodemus West,6
328,284052,4589,Benjamin Bratt,Jonathan Pangborn,7
329,284052,78110,Scott Adkins,Lucian / Strong Zealot,8
330,284052,1070721,Zara Phythian,Brunette Zealot,9
331,68721,3223,Robert Downey Jr.,Tony Stark,0
332,68721,12052,Gwyneth Paltrow,Pepper Potts,1
333,68721,1896,Don Cheadle,Colonel James Rhodes,2
334,68721,529,Guy Pearce,Aldrich Killian,3
335,68721,15556,Rebecca Hall,Maya Hansen,4
336,68721,15277,Jon Favreau,Happy Hogan,5
337,68721,2282,Ben Kingsley,Trevor Slattery,6
338,68721,18473,James Badge Dale,Savin,7
339,68721,121953,Stephanie Szostak,Brandt,8
340,68721,6162,Paul Bettany,Jarvis (voice),9
341,70160,72129,Jennifer Lawrence,Katniss Everdeen,0
342,70160,27972,Josh Hutcherson,Peeta Mellark,1
343,70160,96066,Liam Hemsworth,Gale Hawthorne,2
344,70160,57755,Woody Harrelson,Haymitch Abernathy,3
345,70160,9281,Elizabeth Banks,Effie Trinket,4
346,70160,77069,Lenny Kravitz,Cinna,5
347,70160,2283,Stanley Tucci,Caesar Flickerman,6
348,70160,55636,Donald Sutherland,President Coriolanus Snow,7
349,70160,8210,Wes Bentley,Seneca Crane,8
350,70160,13014,Toby Jones,Claudius Templesmith,9
351,315635,1136406,Tom Holland,Peter Parker / Spider-Man,0
352,315635,2232,Michael Keaton,Adrian Toomes / Vulture,1
353,315635,3223,Robert Downey Jr.,Tony Stark / Iron Man,2
354,315635,3141,Marisa Tomei,May Parker,3
355,315635,15277,Jon Favreau,Happy Hogan,4
356,315635,12052,Gwyneth Paltrow,Pepper Potts,5
357,315635,505710,Zendaya,Michelle,6
358,315635,119589,Donald Glover,Aaron Davis,7
359,315635,1649152,Jacob Batalon,Ned,8
360,315635,1606394,Laura Harrier,Liz,9
361,807,192,Morgan Freeman,Somerset,0
362,807,287,Brad Pitt,Mills,1
363,807,12052,Gwyneth Paltrow,Tracy,2
364,807,12055,John Cassini,Officer Davis,3
365,807,30487,Peter Crombie,Dr. O'Neill,4
366,807,38951,Reg E. Cathey,Dr. Santiago,5
367,807,8655,R. Lee Ermey,Police Captain,6
368,807,12054,Daniel Zacapa,Detective Taylor at First Murder,7
369,807,12047,Andrew Kevin Walker,Dead Man at 1st Crime Scene,8
370,807,1583695,George Christy,Workman at Door of Somerset's Office,9
371,673,10980,Daniel Radcliffe,Harry Potter,0
372,673,10989,Rupert Grint,Ron Weasley,1
373,673,10990,Emma Watson,Hermione Granger,2
374,673,1923,Robbie Coltrane,Rubeus Hagrid,3
375,673,5658,Michael Gambon,Albus Dumbledore,4
376,673,64,Gary Oldman,Sirius Black,5
377,673,11207,David Thewlis,Remus Lupin,6
378,673,9191,Timothy Spall,Peter Pettigrew,7
379,673,4566,Alan Rickman,Severus Snape,8
380,673,10993,Tom Felton,Draco Malfoy,9
381,238,3084,Marlon Brando,Don Vito Corleone,0
382,238,1158,Al Pacino,Michael Corleone,1
383,238,3085,James Caan,Sonny Corleone,2
384,238,3087,Robert Duvall,Tom Hagen,3
385,238,3086,Richard S. Castellano,Clemenza,4
386,238,3092,Diane Keaton,Kay Adams,5
387,238,3094,Talia Shire,Connie Corleone Rizzi,6
388,238,3095,Gianni Russo,Carlo Rizzi,7
389,238,3088,Sterling Hayden,Captain McCluskey,8
390,238,3142,John Marley,Jack Woltz,9
391,283995,73457,Chris Pratt,Peter Quill / Star-Lord,0
392,283995,8691,Zoe Saldaña,Gamora,1
393,283995,543530,Dave Bautista,Drax,2
394,283995,12835,Vin Diesel,Baby Groot (voice),3
395,283995,51329,Bradley Cooper,Rocket (voice),4
396,283995,6856,Kurt Russell,Ego,5
397,283995,12132,Michael Rooker,Yondu,6
398,283995,543261,Karen Gillan,Nebula,7
399,283995,139820,Pom Klementieff,Mantis,8
400,283995,16483,Sylvester Stallone,Stakar Ogord,9
401,1771,16828,Chris Evans,Captain America / Steve Rogers,0
402,1771,39459,Hayley Atwell,Peggy Carter,1
403,1771,60898,Sebastian Stan,James Buchanan 'Bucky' Barnes,2
404,1771,2176,Tommy Lee Jones,Colonel Chester Phillips,3
405,1771,1331,Hugo Weaving,Johann Schmidt / Red Skull,4
406,1771,55470,Dominic Cooper,Howard Stark,5
407,1771,30315,Richard Armitage,Heinz Kruger,6
408,1771,2283,Stanley Tucci,Dr. Abraham Erskine,7
409,1771,2231,Samuel L. Jackson,Nick Fury,8
410,1771,13014,Toby Jones,Dr. Arnim Zola,9
411,272,3894,Christian Bale,Bruce Wayne / Batman,0
412,272,3895,Michael Caine,Alfred,1
413,272,3896,Liam Neeson,Ducard,2
414,272,3897,Katie Holmes,Rachel Dawes,3
415,272,64,Gary Oldman,Jim Gordon,4
416,272,2037,Cillian Murphy,Dr. Jonathan Crane,5
417,272,207,Tom Wilkinson,Carmine Falcone,6
418,272,585,Rutger Hauer,Earle,7
419,272,3899,Ken Watanabe,Ra's al Ghul,8
420,272,534,Mark Boone Junior,Flass,9
421,10138,3223,Robert Downey Jr.,Tony Stark,0
422,10138,12052,Gwyneth Paltrow,Pepper Potts,1
423,10138,1896,Don Cheadle,Lt. Col. James 'Rhodey' Rhodes,2
424,10138,1245,Scarlett Johansson,Natalie Rushman / Natasha Romanoff,3
425,10138,6807,Sam Rockwell,Justin Hammer,4
426,10138,2295,Mickey Rourke,Ivan Vanko,5
427,10138,2231,Samuel L. Jackson,Nick Fury,6
428,10138,9048,Clark Gregg,Agent Coulson,7
429,10138,21134,John Slattery,Howard Stark,8
430,10138,52865,Garry Shandling,Senator Stern,9
431,11,2,Mark Hamill,Luke Skywalker,0
432,11,3,Harrison Ford,Han Solo,1
433,11,4,Carrie Fisher,Princess Leia Organa,2
434,11,5,Peter Cushing,Grand Moff Tarkin,3
435,11,12248,Alec Guinness,"Obi-Wan ""Ben"" Kenobi",4
436,11,6,Anthony Daniels,C-3PO,5
437,11,130,Kenny Baker,R2-D2,6
438,11,24343,Peter Mayhew,Chewbacca,7
439,11,24342,David Prowse,Darth Vader (performer),8
440,11,15152,James Earl Jones,Darth Vader (voice) (uncredited),9
441,10195,74568,Chris Hemsworth,Thor,0
442,10195,524,Natalie Portman,Jane Foster,1
443,10195,91606,Tom Hiddleston,Loki,2
444,10195,4173,Anthony Hopkins,Odin,3
445,10195,1640,Stellan Skarsgård,Erik Selvig,4
446,10195,52852,Kat Dennings,Darcy Lewis,5
447,10195,9048,Clark Gregg,Agent Coulson,6
448,10195,10132,Colm Feore,King Laufey,7
449,10195,17605,Idris Elba,Heimdall,8
450,10195,56614,Ray Stevenson,Volstagg,9
451,22,85,Johnny Depp,Jack Sparrow,0
452,22,118,Geoffrey Rush,Barbossa,1
453,22,114,Orlando Bloom,Will Turner,2
454,22,116,Keira Knightley,Elizabeth Swann,3
455,22,1709,Jack Davenport,Norrington,4
456,22,378,Jonathan Pryce,Governor Weatherby Swann,5
457,22,1710,Lee Arenberg,Pintel,6
458,22,1711,Mackenzie Crook,Ragetti,7
459,22,1712,Damian O'Hare,Lt. Gillette,8
460,22,1713,Giles New,Murtogg,9
461,634649,1136406,Tom Holland,Peter Parker / Spider-Man,0
462,634649,505710,Zendaya,MJ,1
463,634649,71580,Benedict Cumberbatch,Doctor Strange,2
464,634649,1649152,Jacob Batalon,Ned Leeds,3
465,634649,15277,Jon Favreau,Happy Hogan,4
466,634649,134,Jamie Foxx,Max Dillon / Electro,5
467,634649,5293,Willem Dafoe,Norman Osborn / Green Goblin,6
468,634649,658,Alfred Molina,Dr. Otto Octavius / Doc Ock,7
469,634649,30082,Benedict Wong,Wong,8
470,634649,1291350,Tony Revolori,Flash Thompson,9
471,674,10980,Daniel Radcliffe,Harry Potter,0
472,674,10989,Rupert Grint,Ron Weasley,1
473,674,10990,Emma Watson,Hermione Granger,2
474,674,2039,Brendan Gleeson,Alastor 'Mad-Eye' Moody,3
475,674,5658,Michael Gambon,Albus Dumbledore,4
476,674,11288,Robert Pattinson,Cedric Diggory,5
477,674,5469,Ralph Fiennes,Lord Voldemort,6
478,674,1923,Robbie Coltrane,Rubeus Hagrid,7
479,674,4566,Alan Rickman,Severus Snape,8
480,674,20049,David Tennant,Barty Crouch Junior,9
481,297761,2888,Will Smith,Deadshot,0
482,297761,7499,Jared Leto,The Joker,1
483,297761,234352,Margot Robbie,Harley Quinn,2
484,297761,92404,Joel Kinnaman,Rick Flag,3
485,297761,19492,Viola Davis,Amanda Waller,4
486,297761,224181,Jai Courtney,Boomerang,5
487,297761,19487,Jay Hernandez,Diablo,6
488,297761,31164,Adewale Akinnuoye-Agbaje,Killer Croc,7
489,297761,1289968,Cara Delevingne,June Moone / Enchantress,8
490,297761,198150,Ike Barinholtz,Griggs,9
491,284053,74568,Chris Hemsworth,Thor,0
492,284053,103,Mark Ruffalo,Bruce Banner / Hulk,1
493,284053,91606,Tom Hiddleston,Loki,2
494,284053,112,Cate Blanchett,Hela,3
495,284053,17605,Idris Elba,Heimdall,4
496,284053,4785,Jeff Goldblum,Grandmaster,5
497,284053,62561,Tessa Thompson,Valkyrie,6
498,284053,1372,Karl Urban,Skurge,7
499,284053,4173,Anthony Hopkins,Odin,8
500,284053,71580,Benedict Cumberbatch,Doctor Strange,9
501,12445,10980,Daniel Radcliffe,Harry Potter,0
502,12445,10990,Emma Watson,Hermione Granger,1
503,12445,10989,Rupert Grint,Ron Weasley,2
504,12445,5469,Ralph Fiennes,Lord Voldemort,3
505,12445,4566,Alan Rickman,Severus Snape,4
506,12445,5658,Michael Gambon,Albus Dumbledore,5
507,12445,11184,Warwick Davis,Griphook / Filius Flitwick,6
508,12445,1283,Helena Bonham Carter,Bellatrix Lestrange,7
509,12445,8785,Ciarán Hinds,Aberforth Dumbledore,8
510,12445,96841,Matthew Lewis,Neville Longbottom,9
511,105,521,Michael J. Fox,Marty McFly,0
512,105,1062,Christopher Lloyd,Emmett Brown,1
513,105,1064,Crispin Glover,George McFly,2
514,105,1063,Lea Thompson,Lorraine Baines,3
515,105,1066,Claudia Wells,Jennifer Parker,4
516,105,1065,Thomas F. Wilson,Biff Tannen,5
517,105,1067,Marc McClure,Dave McFly,6
518,105,1068,Wendie Jo Sperber,Linda McFly,7
519,105,1069,George DiCenzo,Sam Baines,8
520,105,1070,Frances Lee McCain,Stella Baines,9
521,14160,68812,Ed Asner,Carl Fredricksen (voice),0
522,14160,290,Christopher Plummer,Charles Muntz (voice),1
