movie_id,genre_id
6957,35
6957,10749
419704,878
419704,18
11321,18
1933,27
1933,9648
1933,53
100,35
100,80
370172,28
370172,53
370172,12
98566,878
98566,28
98566,12
98566,35
46195,16
46195,12
46195,35
46195,10751
567,53
567,9648
567,18
28178,18
28178,10751
76163,28
76163,12
76163,53
9543,12
9543,14
9543,28
439079,27
81188,28
81188,12
81188,16
81188,10751
81188,14
11224,10751
11224,14
11224,16
11224,10749
44896,16
44896,35
44896,10751
44896,37
44896,12
39514,28
39514,12
39514,35
39514,80
39514,53
166428,16
166428,10751
166428,12
380,18
206487,878
206487,53
82675,28
82675,80
82675,53
188927,28
188927,12
188927,878
507086,12
507086,878
507086,53
381283,27
381283,18
364,28
364,14
76757,878
76757,14
76757,28
37686,53
37686,878
37686,9648
320288,878
320288,28
320288,12
11544,16
11544,10751
11544,35
11544,878
60304,14
60304,27
60304,28
345,18
345,53
345,9648
1018,53
1018,18
1018,9648
293863,10749
293863,14
293863,18
534,28
534,878
534,53
436270,28
436270,12
436270,878
117263,28
117263,53
337401,12
337401,14
337401,28
676,10752
676,36
676,18
11631,35
11631,10749
7446,28
7446,35
7446,10752
328387,9648
328387,12
328387,80
927,14
927,27
927,35
1576,27
1576,28
1576,878
9737,28
9737,35
9737,80
9737,53
262504,12
262504,878
262504,28
262504,9648
270303,27
270303,9648
53182,28
53182,18
53182,10752
184,80
184,18
184,53
335787,28
335787,12
335787,9648
782,878
782,18
334543,18
661374,35
661374,80
661374,9648
1368,28
1368,53
1368,18
298,80
298,53
254320,35
254320,18
254320,10749
2059,12
2059,28
2059,9648
5255,12
5255,16
5255,10751
5255,14
57214,35
242,80
242,18
242,53
203801,35
203801,28
203801,12
1637,28
1637,53
460465,28
460465,14
460465,12
114150,35
114150,10402
114150,10749
109414,28
109414,35
1813,27
1813,18
1813,9648
331482,18
331482,10749
82700,878
82700,28
82700,12
22881,18
334533,18
334533,35
51540,35
51540,80
68728,14
68728,12
68728,10751
2454,12
2454,10751
2454,14
43074,28
43074,14
43074,35
36647,27
36647,28
1022789,16
1022789,12
1022789,35
1022789,10751
241259,12
241259,10751
241259,14
8467,35
335988,28
335988,12
335988,878
9532,27
47964,28
47964,53
373571,878
373571,28
509,10749
509,35
38365,35
20504,28
20504,53
20504,878
565,27
565,9648
10555,16
10555,28
10555,35
10555,10751
238636,27
238636,53
18823,12
18823,14
18823,28
7131,27
7131,12
7131,28
80278,18
80278,53
80278,36
1572,28
1572,53
644,18
644,878
644,12
687163,878
687163,12
390043,28
390043,35
390043,80
390043,53
522627,28
522627,35
522627,80
9325,10751
9325,16
9325,12
497582,12
497582,9648
497582,80
424783,28
424783,12
424783,878
12230,12
12230,16
12230,35
12230,10751
207932,9648
207932,53
207932,28
2034,28
2034,80
2034,18
788,35
788,18
788,10751
545609,28
545609,53
341013,28
341013,53
277,14
277,28
277,53
140300,16
140300,28
140300,12
140300,35
140300,10751
86834,18
86834,12
80321,16
80321,10751
80321,35
80321,12
59859,28
59859,12
59859,80
508439,12
508439,16
508439,35
508439,10751
508439,14
12477,16
12477,18
12477,10752
38575,28
38575,12
38575,18
38575,10751
524,80
524,18
440021,35
440021,27
440021,9648
423108,27
423108,9648
423108,53
235,18
235,12
39538,18
39538,53
39538,878
250546,27
624860,878
624860,28
624860,12
1995,12
1995,28
1995,14
755,27
755,28
755,80
88,18
88,10402
88,10749
13053,16
13053,10751
13053,12
13053,35
861,28
861,12
861,878
49017,27
49017,28
49017,14
258489,14
258489,28
258489,12
1250,53
1250,28
1250,14
420809,10751
420809,14
420809,12
47933,28
47933,12
47933,878
22794,16
22794,35
22794,10751
1579,28
1579,18
1579,36
512195,28
512195,35
512195,80
76493,35
200727,10749
200727,18
200727,35
181886,53
181886,9648
87502,18
628,27
628,18
628,14
406990,878
406990,53
406990,9648
406990,28
1573,28
1573,53
762,12
762,35
762,14
260514,16
260514,18
260514,10751
333484,12
333484,28
333484,37
242224,18
242224,27
2300,10751
2300,16
2300,878
2300,14
2300,35
3049,35
3049,80
3049,9648
1597,35
1597,10749
334541,18
166424,28
166424,12
166424,878
855,28
855,10752
855,36
8077,878
8077,28
8077,27
238713,28
238713,35
238713,80
388,80
388,18
388,53
82654,27
82654,35
82654,10749
1571,28
1571,53
593643,35
593643,27
302699,28
302699,35
2675,53
2675,878
2675,27
385687,28
385687,80
385687,53
426,9648
426,10749
426,53
13885,18
13885,27
401981,53
401981,9648
83666,35
83666,18
83666,10749
39513,12
39513,35
39513,878
17431,878
17431,18
445571,9648
445571,35
445571,80
1538,18
1538,80
1538,53
570670,53
570670,878
570670,27
1184918,10751
1184918,16
1184918,878
1184918,12
338967,27
338967,35
1927,878
1927,12
1927,28
80274,878
80274,28
80274,12
12092,16
12092,10751
12092,14
12092,12
8247,28
8247,12
8247,878
1624,35
1624,14
9340,12
9340,35
9340,10751
10895,16
10895,10751
10895,14
8488,35
8488,18
8488,10749
228967,28
228967,35
449176,35
449176,18
449176,10749
31011,878
31011,18
31011,10749
324668,28
324668,12
324668,53
181533,12
181533,35
181533,14
181533,10751
1584,35
1584,10751
1584,10402
10386,16
10386,18
10386,10751
10386,878
10386,28
10386,12
12162,18
12162,53
12162,10752
856,14
856,16
856,35
856,80
948,27
948,53
933260,27
933260,878
933260,53
4553,53
4553,18
117,80
117,36
117,53
389015,18
389015,35
451048,14
451048,35
451048,12
935,35
935,10752
260346,53
260346,28
57201,28
57201,12
57201,37
10315,12
10315,16
10315,35
10315,10751
10198,16
10198,10749
10198,14
10198,10751
49040,28
49040,53
637649,53
637649,80
637649,18
159824,16
