movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,status,overview
169917,A Walk Among the Tombstones,en,2014-09-18,114,28000000.0,58834384.0,8.1353,6.333,3055,Released,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
610150,Dragon Ball Super: Super Hero,ja,2022-06-11,100,0.0,86600000.0,5.7867,7.894,3054,Released,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family."
157386,The Spectacular Now,en,2013-08-02,95,2500000.0,6854611.0,5.4923,6.685,3052,Released,"Sutter, a popular party animal, unexpectedly meets the introverted Aimee after waking up on a stranger's lawn. As Sutter deals with the problems in his life and Aimee plans for her future beyond school, an unexpected romance blossoms between them."
9801,Bridget Jones: The Edge of Reason,en,2004-11-10,108,40000000.0,265126918.0,10.4468,6.227,3052,Released,"Bridget Jones is still dating her new love, barrister Mark Darcy, for a perfect six weeks. However, while on assignment in Thailand with her disreputable ex, Daniel Cleaver, claiming to be reformed, Bridget questions if she has everything she's ever dreamed of having."
9593,Last Action Hero,en,1993-06-18,131,85000000.0,137298489.0,8.3117,6.48,3051,Released,"After his father's death, a young boy finds solace in action movies featuring an indestructible cop. Given a magic ticket by a theater manager, he is transported into the film and teams up with the cop to stop a villain who escapes into the real world."
768,From Hell,en,2001-02-08,122,35000000.0,74558115.0,7.8912,6.693,3050,Released,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.
801,"Good Morning, Vietnam",en,1987-12-23,121,13000000.0,123922370.0,7.5583,7.304,3049,Released,"A disk jockey goes to Vietnam to work for the Armed Forces Radio Service. While he becomes popular among the troops, his superiors disapprove of his humor."
1580,Rope,en,1948-02-01,81,1500000.0,2200000.0,6.3819,7.93,3047,Released,Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.
342470,All the Bright Places,en,2020-02-28,108,0.0,0.0,4.9226,7.633,3046,Released,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.
484641,Anna,en,2019-06-19,119,34000000.0,31626978.0,9.9585,6.719,3043,Released,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.
